SNAME,reason
Sedella pumila,"The county list contains ""Mult?"" but there are no occurrences on OFP, and then the only other ocunty is Jackon in Medford"
Sidalcea hirtipes,coastal bluffs on the west side of the coast range
Silene suksdorfii,out of Metro Bond boundary range
Sixeonotus sp. 1,out of Metro Bond boundary range
Speyeria callippe ssp. 1,out of Metro Bond boundary range
Speyeria cybele eileenae,out of Metro Bond boundary range
Tanypteryx hageni,out of Metro Bond boundary range
Teratocoris paludum,out of Metro Bond boundary range
Thomomys bottae detumidus,out of Metro Bond boundary range
Thomomys mazama helleri,out of Metro Bond boundary range
Torreyochloa erecta,out of Metro Bond boundary range
Ursus arctos horribilis,out of Metro Bond boundary range
Vanduzeeina borealis californica,out of Metro Bond boundary range
Vertigo andrusiana,out of Metro Bond boundary range
Vespericola sierranus,out of Metro Bond boundary range
Vespericola sp. 2,out of Metro Bond boundary range
Vespericola sp. 31,out of Metro Bond boundary range
Vorticifex neritoides,out of Metro Bond boundary range
Zizia aptera,"There are occurrences from this region, but only as recently as 1905. The rest are from eastern Oregon and Idaho"
